,priceMean,priceSD,regionDesc,dateStata,dateISO
202201,3.594722,0.6347529,North West (England),01/01/2022,01/01/2022
202201,3.804667,0.7932741,Wales,01/01/2022,01/01/2022
202201,3.888636,0.6430455,Scotland,01/01/2022,01/01/2022
202201,3.993104,0.7658473,East Midlands (England),01/01/2022,01/01/2022
202201,4.224182,0.7899899,South East (England),01/01/2022,01/01/2022
202201,4.455,0.5035706,Northern Ireland,01/01/2022,01/01/2022
202201,3.634839,0.6962417,Yorkshire & Humber,01/01/2022,01/01/2022
202201,3.767667,0.6280879,West Midlands (England),01/01/2022,01/01/2022
202201,4.195,0.6999723,East,01/01/2022,01/01/2022
202201,4.763265,0.9083166,London,01/01/2022,01/01/2022
202201,3.5225,0.7459357,North East (England),01/01/2022,01/01/2022
202201,4.153461,0.7684996,South West (England),01/01/2022,01/01/2022
